,Company,Position,Connected On,Full Name
0,Idiomus,Analista de RH,07 Sep 2025,Erik Villa
1,Gut Sorvetes,Gerente administrativo,15 Apr 2025,Julie Kelly
2,Ampix Software,Software Developer,29 Mar 2025,Michelle Scott
3,IMPLY,Desenvolvedor de front-end,29 Mar 2025,Tammy Phillips
4,Compass UOL,Estagiário de desenvolvimento back-end,25 Mar 2025,Kevin Hunt
5,Bradesco,Analista de Infraestrutura SR,22 Mar 2025,Daniel Ray
6,Universidade de Santa Cruz do Sul,Assistente administrativo,28 Nov 2024,Aaron Yang
7,ForTalk,Gerente de atendimento ao cliente,19 Nov 2024,Crystal Norris
8,oposto,Ilustradora,16 Oct 2024,Jacqueline Edwards
9,Ateliê do Texto,Revisora de texto - português,10 Oct 2024,Lance Sandoval
10,Atlas,Senior Employee Relationship Consultant – Latin America ,16 Sep 2024,William Parker
11,IBM,Experience Design Manager,11 Sep 2024,Karen Johnson
12,Santa Marcelina Cultura,Analista de movimentação de pessoas,03 Sep 2024,Gina Smith
13,SellFlux,Analista de RH Pleno,27 Aug 2024,Julie Garcia
14,Analítica 3M,Supervisora,22 Aug 2024,Charlene Lewis
15,Luau ,Autônoma,20 Aug 2024,John Huynh Jr.
16,WEBJUMP,Business Intelligence Analyst,13 Aug 2024,Michael Rios
17,Sicredi,Product Design Specialist,08 Aug 2024,Michael Anderson MD
18,IBSAÚDE,Jornalista,06 Aug 2024,Erik Smith
19,Somos Educação,Editorial Designer,01 Aug 2024,Monica Miller
20,Milkwhey,Sócia Fundadora e Líder de Marketing Estratégico,30 Jul 2024,Justin Steele
21,Grupo Autoglass,Líder de Engenharia de Dados,30 Jul 2024,Victoria Steele
22,PwC Brasil,Auxiliar de escritório ,24 Jul 2024,Colleen Henry
23,NTConsult,Gerente de design,19 Jul 2024,Samantha Wilson
24,Openness Technology,Desenvolvedor full stack,18 Jul 2024,Michael Norris
25,FADERGS,Professor,11 Jul 2024,Christopher White
26,Intelectus - Gestão Estratégica de Pessoas,Coordenadora de recrutamento e seleção,08 Jul 2024,Kyle Graham
27,Universidade de Santa Cruz do Sul,Professor,05 Jul 2024,Anna Pollard
28,Sicredi,Analista de tecnologia da informação,05 Jul 2024,Brittany Wood
29,Positivo S+,Designer | Vale,02 Jul 2024,Jerry Torres
30,Vivo (Telefônica Brasil),Design Lead,01 Jul 2024,Karen Key
31,Editora MOL,Art Editor in Chief,27 Jun 2024,Ms. Julie Pope
32,Sicredi Planalto Central,Assistente de comunicação e marketing,27 Jun 2024,Brian Hernandez
33,Beiraflor,Cofundadora & Designer,26 Jun 2024,Jeffery Williams
34,Portland,Redatora publicitária,26 Jun 2024,Stephanie Bowen
35,T-Systems do Brasil,Tech Recruiting Assistant ,25 Jun 2024,Brian Welch
36,ESPM Escola Superior de Propaganda e Marketing,Professora de Graduação - Colaboração e Influência Social (LifeLab),25 Jun 2024,Michael Curry
37,Sicredi,Assistente de desenvolvimento de negócios,24 Jun 2024,Christina Davis
